,index,id,createdTime,fields_Web,fields_Original Source,fields_Owner_id,fields_Owner_email,fields_Owner_name,fields_Urban Tech Screening,fields_Sniff Test Notes,fields_Company,fields_Total Investment,fields_Number of Employees backup,fields_Number of Employees,fields_Sub-category (linked),fields_Latitude,fields_Business Address,fields_Category (linked),fields_Employees,fields_Year Founded,fields_Location,fields_Contact Email,fields_Longitude,fields_categorization notes,fields_Category,fields_Survey Sent,fields_Sub-category,fields_Metadata Sources + Notes,fields_Contact Name,fields_Position,fields_Survey Response,fields_Year Acquired or Dissolved,fields_Valuation at Acquisition,fields_Revenue/Budget,fields_Form,fields_Keywords,fields_Pre-Publish Review,fields_Social Media
0,3,rec0C1X6J53tsmZHo,2021-10-26T16:28:52.000Z,https://navigine.com,,usrzlz6zDGzjGmaEg,mfd64@cornell.edu,Max Dumas,Passed,"Indoor navigation and way-finding systems
",Navigine,1700000.0,13,13.0,['recMljynTYjGtXbYr'],40.7535575,"335 Madison Ave, New York, NY 10017, US",['receyB6jWwnjSbV8a'],11-50,2011.0,Manhattan,info@navigine.com,-73.9781361,indoor navigation tech for buildings,['Mobility Systems'],2022-03-01,['Mobility Systems: Navigation & Wayfinding'],,,,,,,,,,,
1,7,rec0Ieyu848WpFLyA,2022-01-05T20:22:37.000Z,https://beta.nyc/,TechNYC,usr9BPdDIhuQuzTkj,atownsend@cornell.edu,Anthony Townsend,Passed,,BetaNYC,,3,3.0,['recd4MIMoRnO8UcTB'],40.7240978,"121 Avenue of the Americas, 6th Floor, New York, NY, 10013",['recRDZqf1tuLAXPKP'],1-10,2008.0,Manhattan,zhi@beta.nyc,-74.0052743,,['Civic Systems'],2022-03-03,['Civic Systems: Digital Rights'],"TO DO ask Noel for an address

",Zhi He,Data and Research Manager at Civic Innovation Lab,,,,,,,,
2,14,rec0drInLam2xIdn1,2022-01-05T20:22:37.000Z,https://girlswhocode.com/,TechNYC,usrirgB6rl9ulQW3Z,pa293@cornell.edu,Preksha Agarwal,Passed,"""Girls Who Code is an international non-profit organization working to close the gender gap in technology and change the image of what a programmer looks like and does. ""

",Girls Who Code,7100000.0,544,544.0,['recuDsRljHOP7xwHK'],40.7476873,"1250 Broadway FL 17 New York, NY 10001",['reca3rMDOoKHI3hPh'],500+,2011.0,Manhattan,info@girlswhocode.com,-73.9878772,,['Education Systems'],2022-03-03,['Education Systems: Tech Training'],,,,,,,,,,,
3,17,rec0moMrqM8W66jln,2022-01-05T20:22:37.000Z,https://www.compstak.com/,TechNYC,usr2qPunnCed2lMv6,lk545@cornell.edu,Lars Kouwenhoven,Passed,"commercial RE data
",CompStak,80900000.0,,,['recXTrODcFXkbucO3'],40.7283289,"36 Cooper Sq, New York, NY 10003",['recdgZhrJxyjqLAb9'],11-50,2012.0,Manhattan,info@compstak.com,-73.9915885,,['Building Systems'],2022-03-03,['Building Systems: Property Management'],"Address on Google Maps and BuiltinNyc
",,,,,,,,,,
4,24,rec1DLNLqs8Pz7Qg6,2022-01-13T14:27:55.000Z,https://www.cubic.com/about/locations,,usr9BPdDIhuQuzTkj,atownsend@cornell.edu,Anthony Townsend,Passed,"transit payments

",Cubic Transportation Systems,,,,['recFdD4KnUimyaKUC'],40.752023,"462 Seventh Avenue, New York, NY, 10018",['receyB6jWwnjSbV8a'],500+,1997.0,Manhattan,CubicInfo@cubic.com,-73.99039909999999,,['Mobility Systems'],2022-03-03,['Mobility Systems: TransitTech'],,,,,,,,,,,
5,26,rec1F02g5LCZstwXp,2022-01-05T20:22:37.000Z,https://hyr.work/,TechNYC,usr2qPunnCed2lMv6,lk545@cornell.edu,Lars Kouwenhoven,Passed,"last-minute gig work hiring for retailiers/food service
",Hyr,2400000.0,,,['recKZR0IOkFvsMhPI'],40.7416299,"16 W 23rd St, New York, NY 10010",['rec5CKA579ehIVo7b'],1-10,2015.0,Manhattan,info@hyr.work,-73.9904399,,['Labor Systems'],2022-03-03,['Labor Systems:  Local Hiring'],"Address on Google Maps. Employees + funding - Crunchbase
",,,,,,,,,,
6,30,rec1ZPg6n1MP5aoRx,2021-10-11T13:48:46.000Z,https://agtech-x.com/,NYC EDC,usruYurWuYKJoW6LE,jjl295@cornell.edu,Jenny Liu,Passed,"Acquired by Agritecture LLC (looks to be Toronto-based?) in 2019. <https://www.agritecture.com/blog/2019/6/20/agritecture-acquires-agtech-x-to-advance-urban-agriculture-entrepreneurship-globally>
",Agritecture,,,,['rec7zrOknjV6JR9yL'],40.7136205,"40 Bushwick Ave, Brooklyn, New York 11211, US",['recEhjg8dnMkICv2w'],1-10,2014.0,Manhattan,jeffrey@agritecture.com,-73.9417455,,['Food Systems'],2022-02-28,['Food Systems: Urban/Indoor Farming'],"acquired
",Jeffrey Landau,Director of Business Development,"We no longer have a physical office.

More info here - <https://www.agritecture.com/about>

**Jeffrey Landau**Director of Business Development & Partnerships

email: [jeffrey@agritecture.com](mailto:jeffrey@agritecture.com)
office: +1.347.709.7587
",,,,,,,
7,37,rec1oOD3usrD49l76,2021-10-26T19:25:27.000Z,https://tech.cornell.edu/,NYC EDC,usr9BPdDIhuQuzTkj,atownsend@cornell.edu,Anthony Townsend,Passed,"Tech University based in NYC
","Urban Tech Hub, Cornell Tech",,3,3.0,['recKRq9wisBEpQYsw'],40.7546836,"2 W Loop Rd, New York, NY, 10044",['recHuk1pvKzYmvRFG'],1-10,2019.0,Manhattan,,-73.9561878,,['Innovation Systems'],,['Innovation Systems: Applied Research'],"first-hand knowledge
",,,,,,,,,,
8,41,rec1wvOfAGSL1r778,2021-10-26T16:22:23.000Z,https://www.cityblock.com,,usruYurWuYKJoW6LE,jjl295@cornell.edu,Jenny Liu,Passed,"Tech-driven healthcare provider for those in underserved communities.
",Cityblock Health,20800000.0,434,434.0,['rec1Fb2i8tWTBB8wH'],40.6625048,"495 Flatbush Ave #C5, Brooklyn, NY 11225",['reca3rMDOoKHI3hPh'],251-500,2017.0,Brooklyn,info@cityblock.com,-73.9614225,,['Health Systems'],2022-03-01,['Health Systems: Social Care'],,,,,,,109900000.0,,,,
9,45,rec26yyuTNEClJzat,2022-01-05T20:22:37.000Z,https://www.friendswithholograms.com/,TechNYC,usrirgB6rl9ulQW3Z,pa293@cornell.edu,Preksha Agarwal,Passed,"AR/VR incubating a couple of urban tech-like projects
",Cortney Harding Consulting,,3,3.0,['recYIePhsZkr376xu'],40.719249,"1 NORTHSIDE PIERS, #3B, Brooklyn, NY 11249",['rece3dYUKHXpHhEkU'],1-10,2014.0,Brooklyn,,-73.963953,,['Information Systems'],,['Information Systems: AR/VR'],,Dead??,,,,,,,,,
